,title,price,link
0,"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)","₹10,999",https://www.flipkart.com/samsung-galaxy-a14-5g-dark-red-128-gb/p/itma8393faabfb76?pid=MOBGHT8UUUNXNYZ4&lid=LSTMOBGHT8UUUNXNYZ4QUY1LJ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&iid=en_R73O4_1C_erY4w5P53lIUHRoOWYhP6YkgQt8CmsKiG_iYsizak0p6y7zkKlt6E-EWn0rLHS-k1NXmOMXwSoZg_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=xcgvv0yrwg0000001735187490772&qH=532c28d5412dd75b
1,"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)","₹10,999",https://www.flipkart.com/samsung-galaxy-a14-5g-light-green-128-gb/p/itmabe91abe7ba0c?pid=MOBGHT8UU3STRKZS&lid=LSTMOBGHT8UU3STRKZSI7GOCK&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&iid=en_R73O4_1C_erY4w5P53lIUHRoOWYhP6YkgQt8CmsKiG9gMtD0jDGgwXynYbkSvURJnJLSrVyAuuGUkkwpZV7-D_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=xcgvv0yrwg0000001735187490772&qH=532c28d5412dd75b
2,"Infinix GT 20 Pro (Mecha Blue, 256 GB)","₹22,999",https://www.flipkart.com/infinix-gt-20-pro-mecha-blue-256-gb/p/itm65a37452b3cc8?pid=MOBHYP4XKUET74VN&lid=LSTMOBHYP4XKUET74VNKPZHZ3&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=en_R73O4_1C_erY4w5P53lIUHRoOWYhP6YkgQt8CmsKiG-JQfLQM1MbIBpUNza62eQa6Qk9hNwc5WdIDYjaXtkSpWaRs4JL222ZRV-dN99QnxU%3D&ssid=xcgvv0yrwg0000001735187490772&qH=532c28d5412dd75b
3,"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)","₹64,999",https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-256-gb/p/itm46fc37ddc7255?pid=MOBGX2F3GDX7QYFT&lid=LSTMOBGX2F3GDX7QYFTDDMJ7Z&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_101&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBGX2F3GDX7QYFT.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
4,"REDMI 13C 5G (Startrail Silver, 128 GB)","₹10,499",https://www.flipkart.com/redmi-13c-5g-startrail-silver-128-gb/p/itm54938652090ad?pid=MOBHY3B2EE7WXNHJ&lid=LSTMOBHY3B2EE7WXNHJBUYKBI&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_102&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBHY3B2EE7WXNHJ.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
5,"REDMI 13c 5G (Startrail Silver, 256 GB)","₹14,900",https://www.flipkart.com/redmi-13c-5g-startrail-silver-256-gb/p/itm996fbc603ec3c?pid=MOBGW6S7BRXYEVVN&lid=LSTMOBGW6S7BRXYEVVNWIHLKH&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_103&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBGW6S7BRXYEVVN.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
6,"vivo T3 Pro 5G (Sandstone Orange, 256 GB)","₹26,999",https://www.flipkart.com/vivo-t3-pro-5g-sandstone-orange-256-gb/p/itmcf52c1fcffbf3?pid=MOBH3XHR46RHEMVH&lid=LSTMOBH3XHR46RHEMVHQKBFEZ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_104&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBH3XHR46RHEMVH.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
7,"SAMSUNG Galaxy S24+ 5G (Onyx Black, 256 GB)","₹64,999",https://www.flipkart.com/samsung-galaxy-s24-5g-onyx-black-256-gb/p/itm325da4a26d7bb?pid=MOBGX2F3HVJYNHUV&lid=LSTMOBGX2F3HVJYNHUVPMFBMF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_105&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBGX2F3HVJYNHUV.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
8,"Apple iPhone 15 (Blue, 128 GB)","₹59,999",https://www.flipkart.com/apple-iphone-15-blue-128-gb/p/itmbf14ef54f645d?pid=MOBGTAGPAQNVFZZY&lid=LSTMOBGTAGPAQNVFZZYQRLPCQ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_106&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBGTAGPAQNVFZZY.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
9,"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","₹24,999",https://www.flipkart.com/motorola-edge-50-fusion-hot-pink-256-gb/p/itm93d002e8a2eb1?pid=MOBGXTYZZBUPYFEC&lid=LSTMOBGXTYZZBUPYFECU3Q95H&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_107&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBGXTYZZBUPYFEC.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
